food_name,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,fiber_per_100g,unit_type,avg_weight
Rajma,226.47,24.16,3.23,28.13,8.93,gram,100
Papaya,255.19,23.82,44.63,10.26,0.29,gram,100
Chicken Curry,240.5,24.81,15.99,2.11,3.92,gram,100
Biryani,211.0,19.16,14.28,26.84,2.86,gram,100
Paneer Butter Masala,202.39,21.04,19.51,25.69,3.49,gram,100
Broccoli,154.14,23.63,44.83,22.17,0.84,gram,100
Dosa,329.2,14.35,46.42,13.07,2.37,gram,100
Cabbage,131.05,20.9,30.34,13.64,3.2,gram,100
Spinach,330.66,6.93,23.88,27.79,0.46,gram,100
Carrot,219.95,11.74,48.2,5.33,2.26,gram,100
Chicken Breast,325.89,7.85,49.59,14.73,3.82,gram,100
Upma,190.13,13.35,22.84,8.38,2.2,gram,100
Paneer Butter Masala,387.59,24.93,48.15,20.58,4.8,gram,100
Paratha,97.34,26.09,44.9,12.68,2.71,piece,69
Chole,112.64,23.98,47.6,20.2,3.29,gram,100
Curd,122.08,10.52,4.66,18.17,5.51,gram,100
Orange,330.59,28.6,50.43,5.76,6.82,gram,100
Chicken Curry,52.48,28.39,48.03,0.65,2.92,gram,100
Chole,241.71,2.74,22.71,7.73,9.39,gram,100
Chicken Curry,65.78,6.17,36.99,0.17,7.94,gram,100
Vegetable Curry,387.87,2.23,38.65,4.35,2.11,gram,100
Chole,223.4,21.85,54.17,4.1,8.25,gram,100
Potato,227.69,17.14,34.59,15.83,8.26,gram,100
Spinach,371.54,18.2,49.79,13.78,8.33,gram,100
Chicken Curry,215.69,19.0,9.25,21.47,6.33,gram,100
Idli,178.23,7.45,11.62,24.61,8.61,piece,95
Paratha,267.93,21.0,9.77,0.35,4.86,piece,120
Watermelon,106.61,14.46,37.69,22.35,5.08,gram,100
Mango,291.52,20.45,52.64,23.8,9.02,gram,100
Greek Yogurt,46.18,9.6,48.47,12.44,0.1,gram,100
Curd,70.25,11.1,51.53,17.33,0.81,gram,100
Rajma,223.82,20.51,8.95,16.92,2.97,gram,100
Greek Yogurt,222.85,5.8,48.88,11.14,4.71,gram,100
Butter,55.38,1.14,35.9,24.45,0.99,gram,100
Rajma,51.83,26.3,35.34,10.76,1.1,gram,100
Paratha,54.27,26.25,27.63,29.98,3.39,piece,83
Butter,160.46,24.55,29.5,16.45,4.91,gram,100
Apple,273.89,16.99,15.01,7.18,8.59,piece,48
Chicken Breast,196.89,27.25,10.29,8.92,9.55,gram,100
Watermelon,296.98,27.38,16.54,7.81,1.47,gram,100
Greek Yogurt,102.25,9.86,37.62,0.97,3.61,gram,100
Sambar,334.84,25.7,32.19,2.0,1.65,gram,100
Potato,374.19,27.19,56.89,13.59,9.92,gram,100
Almonds,264.83,10.7,26.12,18.62,0.67,gram,100
Pineapple,140.38,4.88,11.68,16.17,5.31,gram,100
Papaya,304.22,27.36,0.59,11.26,7.11,gram,100
Cabbage,309.68,25.85,11.89,24.35,3.02,gram,100
Carrot,149.19,7.48,3.39,26.58,8.9,gram,100
Curd,373.72,24.68,43.16,15.38,1.97,gram,100
Paneer,117.99,15.8,25.35,0.64,7.65,gram,100
Walnuts,356.87,20.11,26.63,11.76,1.87,gram,100
Peanuts,148.72,6.71,42.65,20.92,1.98,gram,100
Cashews,81.93,22.12,4.35,4.76,2.93,gram,100
Bread,349.84,15.96,16.91,26.12,9.99,gram,100
Greek Yogurt,184.51,2.82,52.94,11.74,8.72,gram,100
Watermelon,156.29,11.5,26.52,9.29,7.11,gram,100
Banana,242.11,21.08,58.74,10.46,3.8,piece,116
Mango,83.22,3.69,15.71,24.47,5.17,gram,100
Dosa,274.33,15.63,48.3,3.83,8.15,gram,100
Sambar,269.97,16.16,44.09,13.05,1.39,gram,100
Chicken Breast,125.02,14.35,2.92,10.03,8.15,gram,100
Tomato,254.56,23.46,15.65,17.68,1.66,gram,100
Protein Shake,378.9,2.17,12.47,21.16,3.84,gram,100
Poha,51.68,25.11,21.32,9.24,5.2,gram,100
Chapati,122.48,3.28,16.47,3.04,4.96,piece,116
Paratha,101.53,1.49,6.39,20.87,0.62,piece,100
Curd,68.31,12.55,21.56,25.27,9.6,gram,100
Onion,206.32,5.34,10.07,8.34,0.71,gram,100
Papaya,365.83,22.8,41.86,12.9,3.67,gram,100
Upma,336.65,1.58,6.7,15.08,2.78,gram,100
Oats,335.44,24.12,33.99,0.36,3.92,gram,100
Chicken Curry,314.35,21.55,9.76,11.54,7.79,gram,100
Spinach,360.05,21.42,14.23,5.67,9.69,gram,100
Paratha,114.13,0.27,11.18,13.67,8.45,piece,55
Orange,226.27,27.78,50.21,6.98,5.42,gram,100
Cashews,386.77,5.96,36.01,28.31,9.8,gram,100
Curd,276.94,26.35,23.25,21.94,5.5,gram,100
Potato,303.8,18.17,58.88,20.94,3.52,gram,100
Chicken Breast,92.34,2.54,27.09,23.46,6.13,gram,100
Oats,77.77,18.13,15.26,8.28,7.24,gram,100
Oats,383.49,2.76,25.68,15.76,8.8,gram,100
Papaya,339.97,8.45,5.83,22.09,7.5,gram,100
Mango,382.2,2.18,1.09,17.55,8.64,gram,100
Bread,196.68,21.66,40.32,25.79,4.38,gram,100
Watermelon,111.49,0.52,53.8,11.45,8.85,gram,100
Peanuts,95.78,14.79,2.16,28.18,4.55,gram,100
Idli,112.39,24.45,36.91,4.81,8.98,piece,44
Chapati,43.53,20.9,13.11,7.04,4.19,piece,88
Sambar,53.32,8.73,0.14,8.63,2.44,gram,100
Papaya,277.19,1.17,36.04,29.5,3.12,gram,100
Salad,82.11,18.92,20.43,15.44,7.19,gram,100
Chapati,171.41,14.87,27.22,25.15,0.3,piece,116
Idli,349.93,14.68,21.56,29.38,0.32,piece,59
Poha,394.94,1.01,23.05,20.9,3.84,gram,100
Paneer Butter Masala,339.44,22.47,56.43,8.32,1.2,gram,100
Cornflakes,352.39,20.13,43.23,2.19,6.26,gram,100
Paratha,166.63,4.92,18.52,10.44,9.74,piece,47
Mango,224.82,9.5,42.77,26.55,9.3,gram,100
Paratha,282.61,14.95,40.04,6.01,5.68,piece,59
Vegetable Curry,140.62,16.18,52.3,0.23,5.72,gram,100
Almonds,341.95,23.51,28.37,24.54,8.22,gram,100
Chicken Curry,68.39,1.65,32.84,17.06,9.14,gram,100
Potato,324.17,15.41,47.45,14.55,4.38,gram,100
Carrot,233.85,27.69,8.92,13.56,4.36,gram,100
Paneer Butter Masala,320.68,2.08,45.46,7.73,1.14,gram,100
Rice,165.0,18.06,2.61,7.32,3.26,gram,100
Dosa,343.76,26.17,44.35,16.57,1.08,gram,100
Cauliflower,255.97,0.88,47.3,19.8,4.97,gram,100
Broccoli,398.4,7.16,13.84,9.94,8.98,gram,100
Spinach,60.38,16.62,40.14,10.67,1.62,gram,100
Vegetable Curry,139.92,1.51,20.11,10.33,1.13,gram,100
Protein Shake,306.61,8.85,56.39,15.0,9.16,gram,100
Cashews,225.95,10.74,44.6,4.44,7.14,gram,100
Oats,188.7,23.44,44.93,24.91,7.32,gram,100
Dosa,292.41,14.78,5.57,21.43,2.38,gram,100
Cornflakes,272.96,8.24,54.85,19.35,2.36,gram,100
Biryani,301.64,17.37,42.12,19.86,7.28,gram,100
Broccoli,192.06,17.18,20.7,14.43,3.64,gram,100
Potato,194.6,24.1,39.38,29.16,1.13,gram,100
Salad,125.21,28.82,11.98,16.28,7.58,gram,100
Cornflakes,110.98,2.22,37.85,17.81,0.72,gram,100
Upma,62.01,13.63,36.5,29.28,1.06,gram,100
Papaya,147.81,16.47,49.06,1.04,2.37,gram,100
Banana,41.66,21.14,15.76,4.8,2.2,piece,58
Greek Yogurt,249.69,24.88,34.5,29.57,6.56,gram,100
Chicken Curry,140.64,9.98,11.71,5.99,7.23,gram,100
Walnuts,168.79,15.79,26.53,6.04,7.76,gram,100
Milk,339.37,13.53,54.17,25.6,7.41,gram,100
Cabbage,49.71,28.25,1.06,4.81,4.12,gram,100
Apple,375.1,16.48,40.56,27.26,3.94,piece,50
Protein Shake,259.01,15.14,49.95,23.95,0.51,gram,100
Idli,336.11,14.47,18.31,25.71,9.84,piece,70
Vegetable Curry,334.64,18.6,42.81,28.16,6.04,gram,100
Chole,263.07,16.38,40.73,11.36,5.54,gram,100
Broccoli,371.81,17.15,19.58,21.83,7.64,gram,100
Biryani,172.27,1.63,28.77,2.1,7.14,gram,100
Chicken Breast,291.87,16.93,51.59,8.65,8.82,gram,100
Sambar,201.24,6.39,40.78,9.42,3.94,gram,100
Butter,86.52,28.66,16.95,15.36,7.4,gram,100
Potato,122.62,18.95,57.05,17.65,3.21,gram,100
Almonds,242.02,10.15,16.38,18.63,3.32,gram,100
Walnuts,159.25,1.57,30.2,16.32,3.89,gram,100
Butter,379.11,20.91,25.46,9.58,9.67,gram,100
Milk,357.4,7.82,10.75,25.49,6.51,gram,100
Upma,142.95,13.13,8.2,24.51,1.59,gram,100
Cornflakes,340.53,21.98,39.34,2.55,8.44,gram,100
Potato,96.08,16.46,38.11,12.94,8.95,gram,100
Bread,360.42,7.73,25.26,5.02,4.2,gram,100
Broccoli,304.63,29.83,0.86,22.37,5.44,gram,100
Biryani,217.12,28.71,21.1,18.49,8.92,gram,100
Cabbage,102.66,5.42,59.19,23.92,9.06,gram,100
Paratha,220.42,20.43,55.99,5.35,0.46,piece,71
Banana,376.02,14.83,16.25,23.64,7.03,piece,77
Peanuts,345.47,22.82,24.69,29.08,1.51,gram,100
Tomato,370.05,4.59,55.47,1.01,7.89,gram,100
Salad,292.47,10.99,33.63,22.59,7.75,gram,100
Chole,333.36,3.33,54.24,22.45,2.5,gram,100
Cornflakes,370.8,6.78,22.03,1.27,9.76,gram,100
Upma,142.73,4.37,0.37,6.98,8.68,gram,100
Peanuts,337.63,27.76,59.58,2.01,4.29,gram,100
Cashews,323.99,9.99,43.4,23.42,8.1,gram,100
Chapati,273.78,11.43,48.73,13.18,3.15,piece,56
Vegetable Curry,306.68,23.28,22.78,2.02,2.02,gram,100
Greek Yogurt,339.79,24.39,19.54,17.12,5.97,gram,100
Biryani,161.22,13.22,47.14,26.28,8.74,gram,100
Oats,385.09,29.49,55.48,17.53,2.51,gram,100
Tomato,258.49,26.65,13.29,21.65,7.69,gram,100
Butter,375.05,21.8,5.23,20.95,9.24,gram,100
Curd,60.72,23.07,58.43,1.58,2.17,gram,100
Orange,306.46,20.5,24.18,5.95,1.77,gram,100
Cornflakes,289.38,7.42,9.22,22.54,9.13,gram,100
Peanuts,251.3,10.46,6.34,23.76,7.46,gram,100
Oats,97.54,26.75,21.52,5.12,5.86,gram,100
Chapati,51.01,18.41,15.15,6.59,8.44,piece,100
Spinach,193.4,26.74,28.39,7.03,7.99,gram,100
Spinach,115.17,3.28,33.17,0.37,3.04,gram,100
Salad,199.17,16.85,59.65,24.22,4.44,gram,100
Cornflakes,375.76,5.99,55.17,27.53,6.58,gram,100
Upma,58.25,25.11,13.88,24.9,1.68,gram,100
Papaya,178.47,24.74,35.4,23.25,1.42,gram,100
Mango,133.28,27.61,50.39,29.74,5.59,gram,100
Pineapple,220.54,18.08,59.81,23.7,1.68,gram,100
Dal Tadka,191.27,13.79,3.25,28.62,4.9,gram,100
Upma,174.73,20.11,11.97,17.12,2.05,gram,100
Biryani,277.85,25.4,1.66,3.66,7.16,gram,100
Greek Yogurt,189.14,27.9,57.05,8.55,5.05,gram,100
Upma,351.13,7.8,14.7,17.91,5.5,gram,100
Milk,394.3,12.56,25.94,11.06,1.22,gram,100
Rajma,44.43,24.14,23.51,28.15,3.31,gram,100
Cashews,173.78,24.96,10.28,8.02,3.8,gram,100
Sambar,165.08,19.95,27.19,1.42,7.4,gram,100
Dal Tadka,119.44,13.2,43.66,12.1,0.64,gram,100
Biryani,348.01,27.78,29.35,26.38,2.2,gram,100
Cornflakes,247.15,11.23,55.56,12.58,7.23,gram,100
Dal Tadka,203.84,7.79,23.45,26.79,0.81,gram,100
Paneer,105.21,26.05,51.34,16.17,8.41,gram,100
Paneer Butter Masala,159.02,17.15,21.93,9.79,6.01,gram,100
Rajma,117.66,20.9,33.28,25.34,6.81,gram,100
Sambar,139.62,9.6,2.32,12.88,1.69,gram,100
Milk,137.54,18.59,38.15,23.0,4.36,gram,100
Sambar,333.92,21.5,2.89,18.05,3.04,gram,100
Upma,146.67,11.43,5.94,8.46,6.05,gram,100
Banana,263.57,9.39,3.24,28.58,6.42,piece,108
Papaya,60.46,26.02,35.38,4.24,3.55,gram,100
Chapati,211.41,6.61,9.55,20.02,1.88,piece,65
Grapes,76.44,25.06,47.32,29.55,7.44,gram,100
Chicken Breast,168.9,4.72,52.01,3.01,0.17,gram,100
Mango,151.57,8.77,17.01,0.52,0.14,gram,100
Vegetable Curry,163.99,8.58,7.05,20.77,9.07,gram,100
Tomato,309.22,25.25,46.55,7.62,2.9,gram,100
Biryani,127.48,12.36,29.01,8.35,0.64,gram,100
Biryani,300.16,3.25,39.96,13.57,6.64,gram,100
Watermelon,385.9,28.32,43.4,1.08,8.79,gram,100
Dal Tadka,218.04,16.23,18.33,16.04,6.6,gram,100
Paratha,171.7,18.59,25.12,7.81,8.69,piece,114
Vegetable Curry,310.92,5.92,14.94,25.78,4.54,gram,100
Broccoli,353.26,20.19,58.72,22.97,1.21,gram,100
Idli,294.44,2.26,18.44,7.71,0.17,piece,93
Rajma,54.47,24.37,7.24,13.35,5.12,gram,100
Tomato,52.65,11.06,17.13,16.12,1.2,gram,100
Spinach,65.26,26.23,57.92,29.17,4.31,gram,100
Curd,128.37,23.28,3.1,14.55,4.9,gram,100
Orange,125.76,14.62,51.82,10.11,3.5,gram,100
Curd,81.38,23.02,39.76,2.68,0.08,gram,100
Egg,393.07,9.64,40.68,17.54,8.87,piece,50
Greek Yogurt,97.07,18.63,12.07,16.96,0.8,gram,100
Cauliflower,83.64,0.92,52.66,29.3,6.78,gram,100
Broccoli,321.65,27.33,15.72,23.24,3.03,gram,100
Grapes,241.16,23.39,48.33,21.63,2.08,gram,100
Sambar,82.77,20.66,41.3,9.21,5.33,gram,100
Mango,147.44,16.2,37.26,29.51,7.23,gram,100
Spinach,220.29,12.48,41.52,13.77,5.15,gram,100
Dosa,48.25,9.82,25.91,5.1,9.82,gram,100
Poha,395.43,18.3,50.3,18.81,0.7,gram,100
Chapati,43.42,13.14,24.54,14.34,8.3,piece,47
Apple,344.07,0.14,3.63,27.3,4.26,piece,112
Vegetable Curry,132.21,11.46,15.18,28.88,6.23,gram,100
Spinach,86.63,1.38,32.56,10.43,9.28,gram,100
Chicken Breast,188.13,3.92,57.03,28.6,4.27,gram,100
Rice,77.55,4.81,6.74,11.41,3.01,gram,100
Biryani,91.84,6.21,20.32,9.8,3.49,gram,100
Oats,205.98,19.33,3.45,19.86,8.37,gram,100
Paneer,70.48,3.19,24.37,0.79,9.06,gram,100
Banana,375.66,2.19,8.65,5.88,9.64,piece,96
Spinach,205.54,25.72,45.78,18.68,7.77,gram,100
Cashews,229.75,15.46,39.0,0.39,0.49,gram,100
Grapes,379.04,22.67,15.82,17.27,2.39,gram,100
Cornflakes,210.74,29.5,38.28,20.47,9.62,gram,100
Salad,88.18,12.99,35.78,6.38,6.32,gram,100
Carrot,157.85,17.72,51.44,13.79,0.15,gram,100
Dal Tadka,55.41,3.24,41.72,8.8,2.4,gram,100
Sambar,238.54,27.72,6.07,25.1,1.25,gram,100
Almonds,85.73,29.43,17.97,20.9,8.0,gram,100
Cabbage,177.46,15.46,9.48,5.89,5.59,gram,100
Poha,335.69,18.48,22.97,11.65,7.63,gram,100
Spinach,121.82,7.48,44.11,12.82,4.7,gram,100
Chicken Curry,51.85,24.5,16.9,22.86,7.16,gram,100
Carrot,274.94,7.15,44.49,4.13,8.46,gram,100
Biryani,46.91,8.65,17.78,25.3,9.93,gram,100
Peanuts,319.65,24.7,34.42,23.5,2.29,gram,100
Vegetable Curry,326.54,27.26,24.7,2.22,4.62,gram,100
Spinach,108.32,16.77,35.4,7.58,4.31,gram,100
Vegetable Curry,157.77,6.25,37.44,7.55,0.19,gram,100
Carrot,83.66,19.3,23.36,21.24,8.36,gram,100
Paratha,165.19,7.87,17.76,1.04,0.05,piece,85
Walnuts,163.32,24.32,28.61,15.39,8.79,gram,100
Almonds,215.55,13.82,36.25,24.19,0.44,gram,100
Bread,59.66,1.02,10.5,1.71,8.32,gram,100
Carrot,40.45,2.64,40.79,16.03,5.29,gram,100
Bread,289.25,18.91,46.77,25.92,0.63,gram,100
Mango,287.38,22.11,34.97,7.67,6.56,gram,100
Paratha,221.63,23.3,27.83,15.75,6.26,piece,49
Dosa,123.01,11.52,47.82,18.66,1.02,gram,100
Mango,306.65,26.68,26.54,22.19,8.82,gram,100
Upma,256.18,15.59,33.1,23.0,9.03,gram,100
Pineapple,127.26,1.34,42.7,7.01,2.07,gram,100
Chicken Breast,328.13,29.92,0.75,8.48,9.6,gram,100
Vegetable Curry,60.83,2.88,54.01,29.12,0.31,gram,100
Greek Yogurt,322.22,23.06,19.94,3.33,8.59,gram,100
Chicken Breast,141.18,22.95,36.8,7.21,5.32,gram,100
Idli,273.53,0.61,32.56,17.75,7.24,piece,34
Greek Yogurt,392.37,18.47,35.78,23.98,2.95,gram,100
Biryani,180.78,11.28,50.33,26.91,9.36,gram,100
Pineapple,326.15,2.16,30.46,24.26,9.92,gram,100
Cabbage,374.62,1.95,17.76,10.2,7.78,gram,100
Idli,333.62,1.26,24.14,10.91,2.68,piece,97
Walnuts,389.26,11.99,45.95,23.99,5.54,gram,100
Oats,183.28,12.42,2.07,6.96,8.24,gram,100
Butter,358.72,2.82,12.7,28.59,4.51,gram,100
Chicken Curry,363.74,6.39,55.62,18.58,6.44,gram,100
Cabbage,209.6,12.85,36.97,28.2,6.47,gram,100
Pineapple,279.54,29.62,10.25,27.5,6.13,gram,100
Watermelon,95.5,4.34,52.26,1.78,1.96,gram,100
Greek Yogurt,153.95,27.89,10.37,6.58,3.25,gram,100
Salad,81.24,24.77,35.04,18.01,2.51,gram,100
Dosa,59.37,24.74,41.73,0.27,8.58,gram,100
Sambar,274.26,4.99,42.81,3.1,6.05,gram,100
Vegetable Curry,294.45,22.22,57.33,4.65,9.67,gram,100
Poha,57.87,10.27,12.96,29.87,5.66,gram,100
Dal Tadka,140.28,19.29,28.91,15.56,2.93,gram,100
Idli,87.37,5.53,27.98,15.97,5.14,piece,115
Chicken Curry,399.84,20.23,42.86,18.1,6.73,gram,100
Broccoli,297.69,4.06,8.36,21.31,2.44,gram,100
Orange,63.57,12.94,43.21,6.89,7.91,gram,100
Oats,211.55,5.27,9.77,15.38,7.62,gram,100
Rice,315.67,11.2,14.62,21.88,1.0,gram,100
Spinach,136.02,12.68,1.99,8.06,7.19,gram,100
Curd,198.64,12.73,53.21,0.32,8.94,gram,100
Banana,362.13,1.6,9.16,9.43,9.17,piece,47
Almonds,333.93,13.26,45.29,15.39,8.25,gram,100
Cornflakes,185.9,19.0,20.61,16.2,0.74,gram,100
Dosa,383.13,11.59,0.65,14.12,8.18,gram,100
Cabbage,43.9,9.85,40.19,11.85,2.85,gram,100
Watermelon,132.83,28.75,28.0,4.43,1.48,gram,100
Onion,363.44,20.66,28.46,12.32,6.66,gram,100
Grapes,55.02,9.21,24.14,15.26,4.38,gram,100
Cauliflower,49.99,9.65,5.53,22.65,3.4,gram,100
Rajma,245.48,3.45,10.9,6.86,4.04,gram,100
Egg,136.85,9.87,56.4,20.69,4.5,piece,114
Peanuts,112.84,15.3,26.05,29.23,7.64,gram,100
Butter,107.9,24.88,57.11,10.75,6.05,gram,100
Grapes,241.05,4.85,15.79,25.38,7.23,gram,100
Paneer,228.12,20.05,19.43,3.09,5.5,gram,100
Greek Yogurt,47.17,9.62,1.65,8.09,1.52,gram,100
Sambar,155.41,24.89,15.52,4.91,4.13,gram,100
Vegetable Curry,205.52,6.55,32.98,18.22,3.91,gram,100
Paratha,178.79,10.23,51.72,13.73,7.29,piece,85
Apple,142.25,27.41,0.71,2.11,3.15,piece,62
Papaya,267.74,8.86,31.47,0.64,4.52,gram,100
Papaya,367.65,10.6,24.24,15.93,9.49,gram,100
Apple,397.08,25.04,11.16,5.28,4.88,piece,33
Bread,136.28,0.81,34.73,0.01,6.72,gram,100
Walnuts,137.4,0.92,27.67,19.49,7.23,gram,100
Almonds,316.8,8.95,30.09,0.95,5.72,gram,100
Cornflakes,286.11,5.51,22.67,18.71,0.01,gram,100
Mango,63.39,12.58,12.47,4.97,9.87,gram,100
Mango,385.65,21.36,32.27,1.35,8.22,gram,100
Tomato,394.21,22.65,23.56,24.33,8.81,gram,100
Oats,380.68,29.45,41.21,28.06,5.7,gram,100
Chicken Breast,99.26,28.77,56.57,1.65,2.94,gram,100
Mango,294.91,23.25,29.14,27.05,6.24,gram,100
Cauliflower,231.0,18.86,46.29,15.63,0.62,gram,100
Dal Tadka,353.7,17.74,27.78,21.58,7.54,gram,100
Cashews,239.88,13.27,58.21,19.34,0.29,gram,100
Chole,103.6,16.84,1.09,17.15,7.34,gram,100
Cashews,53.95,11.13,23.44,4.01,8.39,gram,100
Cauliflower,60.45,12.27,17.87,4.7,5.51,gram,100
Dosa,145.3,18.73,1.52,16.09,0.68,gram,100
Curd,273.73,0.66,13.37,7.67,6.5,gram,100
Spinach,286.95,7.21,41.12,25.14,8.08,gram,100
Paneer,165.27,16.79,18.57,14.8,3.89,gram,100
Rajma,51.26,6.02,23.52,29.59,5.99,gram,100
Paneer Butter Masala,250.52,11.34,52.62,23.4,8.32,gram,100
Curd,384.97,25.76,54.33,19.77,0.15,gram,100
Broccoli,239.04,1.63,59.54,27.92,3.61,gram,100
Salad,75.74,21.0,37.67,23.87,0.81,gram,100
Papaya,355.6,1.91,49.37,15.7,5.97,gram,100
Tomato,132.4,14.99,37.6,5.56,8.78,gram,100
Tomato,379.33,21.79,1.33,16.12,3.16,gram,100
Paneer Butter Masala,241.52,26.29,23.54,22.73,0.36,gram,100
Dal Tadka,308.49,21.65,58.73,29.79,5.96,gram,100
Protein Shake,104.57,11.24,20.81,2.51,7.33,gram,100
Cauliflower,113.51,12.54,6.77,8.26,3.94,gram,100
Grapes,280.83,7.14,24.37,18.48,6.84,gram,100
Walnuts,271.68,29.66,45.34,15.39,8.62,gram,100
